ID,USERNAME,PASSWORD,FIRST_NAME,LAST_NAME,EMAIL
A001,ADMIN,main,Main,Admin,000
U001,Rosella1,11111111,Rosella,Burks,BurksR@gmail.com
U002,Damien1,11111111,Damien,Avila,AvilaD@gmail.com
U003,Robin1,11111111,Robin,Olsen,OlsenR@gmail.com
U004,Edgar1,11111111,Edgar,Moises,MoisesE@gmail.com
U005,Heath1,11111111,Heath,Brian,BrianH@gmail.com
U006,Elvin1,11111111,Elvin,Claude,ClaudeE@gmail.com
U007,Edmund1,11111111,Edmund,Mosley,MosleyE@gmail.com
U008,Antoine1,11111111,Antoine,Derek,DerekA@gmail.com
U009,Callie1,11111111,Callie,Hawkins,HawkinsC@gmail.com
U010,Andrea1,11111111,Andrea,Pate,PateA@gmail.com
U011,Liz1,11111111,Liz,Austin,AustinL@gmail.com
U012,Reba1,11111111,Reba,Kendrick,KendrickR@gmail.com
U013,Angelina1,11111111,Angelina,Sims,SimsA@gmail.com
U014,Kimberly1,11111111,Kimberly,Mullins,MullinsK@gmail.com
U015,Lloyd1,11111111,Lloyd,Chuck,ChuckL@gmail.com
U016,Ladonna1,11111111,Ladonna,Payne,PayneL@gmail.com
U017,Johnathan1,11111111,Johnathan,Baxter,BaxterJ@gmail.com
U018,Gilbert1,11111111,Gilbert,Weiss,WeissG@gmail.com
U019,Florence1,11111111,Florence,Deirdre,DeirdreF@gmail.com
U020,Toby1,11111111,Toby,Fernando,FernandoT@gmail.com
U021,Patrica1,11111111,Patrica,Garrison,GarrisonP@gmail.com
U022,Leila1,11111111,Leila,Effie,EffieL@gmail.com
U023,Rose1,11111111,Rose,Buckley,BuckleyR@gmail.com
U024,Kathie1,11111111,Kathie,Stanton,StantonK@gmail.com
U025,Shannon1,11111111,Shannon,Banks,BanksS@gmail.com
U026,Cleo1,11111111,Cleo,Barnes,BarnesC@gmail.com
U027,Nellie1,11111111,Nellie,Brady,BradyN@gmail.com
U028,Ruben1,11111111,Ruben,Katheryn,KatherynR@gmail.com
U029,Dianne1,11111111,Dianne,Michael,MichaelD@gmail.com
U030,Adam1,11111111,Adam,Grant,GrantA@gmail.com
U031,Kurtis1,11111111,Kurtis,Head,HeadK@gmail.com
U032,Jami1,11111111,Jami,Berger,BergerJ@gmail.com
U033,Jaime1,11111111,Jaime,Earline,EarlineJ@gmail.com
U034,Summer1,11111111,Summer,Evelyn,EvelynS@gmail.com
U035,Sam1,11111111,Sam,Quentin,QuentinS@gmail.com
U036,Ann1,11111111,Ann,Dunlap,DunlapA@gmail.com
U037,Rich1,11111111,Rich,Shields,ShieldsR@gmail.com
U038,Winnie1,11111111,Winnie,Page,PageW@gmail.com
U039,Ezra1,11111111,Ezra,Sparks,SparksE@gmail.com
U040,Elba1,11111111,Elba,Kaufman,KaufmanE@gmail.com
